Feature,Importance
revenue,0.03146179320264534
runtime,0.12918542669726674
budget,0.02536776719548671
historical_proximity_score,0.047470149744107806
SDI_ethnicity,0.06470520008827668
SDI_gender,0.0701192951959798
release_date_1889,5.80120197014655e-05
release_date_1890,2.7802668937402736e-05
release_date_1893,8.088994766874345e-06
release_date_1894,0.0002295828791276747
release_date_1895,8.25270030789467e-05
release_date_1896,0.0002523831203647019
release_date_1897,4.599097708982076e-05
release_date_1898,9.284790064956986e-05
release_date_1899,5.914169944225229e-05
release_date_1900,0.00021137683227992233
release_date_1901,0.00011375077481081495
release_date_1902,4.4199518620057484e-05
release_date_1903,3.8922860318024975e-05
release_date_1904,6.35247614611574e-05
release_date_1905,1.735887838672504e-05
release_date_1906,6.572128090056437e-05
release_date_1908,0.00025534528174263576
release_date_1909,0.00039700464727352954
release_date_1910,0.00033975614913371366
release_date_1911,0.001004193814482892
release_date_1912,0.0007160529546996894
release_date_1913,0.0006974313522288473
release_date_1914,0.0013435244833836372
release_date_1915,0.0012016965692897036
release_date_1916,0.0009711908498505985
release_date_1917,0.0008562751752707741
release_date_1918,0.0012014832113352567
release_date_1919,0.001223792445953299
release_date_1920,0.0007303022072572417
release_date_1921,0.0008340709033272951
release_date_1922,0.000770594191295606
release_date_1923,0.0011093848266932752
release_date_1924,0.0010024636413105245
release_date_1925,0.001295895608270693
release_date_1926,0.0013265816719581212
release_date_1927,0.0013710550295975969
release_date_1928,0.0016014541643391534
release_date_1929,0.001311975593607857
release_date_1930,0.0012203264043002377
release_date_1931,0.0014115797979658922
release_date_1932,0.001724300075178571
release_date_1933,0.0016635561939756624
release_date_1934,0.0024644891021118626
release_date_1935,0.0025497074519462643
release_date_1936,0.002512098520740378
release_date_1937,0.0025281026900831564
release_date_1938,0.0022561148696235737
release_date_1939,0.002352173442296871
release_date_1940,0.002343426953216864
release_date_1941,0.002004691285399365
release_date_1942,0.002269305169766654
release_date_1943,0.0019415387072687271
release_date_1944,0.001740389266576624
release_date_1945,0.001538950984244706
release_date_1946,0.001588462442092817
release_date_1947,0.0015982015753342362
release_date_1948,0.00198913169151849
release_date_1949,0.0018249525689304918
release_date_1950,0.0020497214679804756
release_date_1951,0.0023132822353130016
release_date_1952,0.0023736981236067893
release_date_1953,0.002220415025851471
release_date_1954,0.0021939946867139885
release_date_1955,0.0023872740427287485
release_date_1956,0.002361439481146363
release_date_1957,0.0024459820433978437
release_date_1958,0.002365884178139975
release_date_1959,0.0021898733173234836
release_date_1960,0.002352561733603929
release_date_1961,0.002272776419370232
release_date_1962,0.002230663312168362
release_date_1963,0.0018744312921578374
release_date_1964,0.0020298064024363454
release_date_1965,0.0022264343121247694
release_date_1966,0.0020303314380823202
release_date_1967,0.002224903100320443
release_date_1968,0.0018929769759018784
release_date_1969,0.002090472546734336
release_date_1970,0.0019479605958770707
release_date_1971,0.0022089503668553763
release_date_1972,0.0020237004525006
release_date_1973,0.002249780641122366
release_date_1974,0.0023765497942445776
release_date_1975,0.002063796079610361
release_date_1976,0.0022578241749386385
release_date_1977,0.002174195213141934
release_date_1978,0.002191441295230361
release_date_1979,0.002448379951263985
release_date_1980,0.0022465363984194467
release_date_1981,0.002038813082711226
release_date_1982,0.0025552246156495895
release_date_1983,0.002518717389913538
release_date_1984,0.0025903039091853047
release_date_1985,0.0028929454317082504
release_date_1986,0.002663902320298772
release_date_1987,0.0031349655185072033
release_date_1988,0.002977714165155102
release_date_1989,0.0026690539423818676
release_date_1990,0.00263509147986829
release_date_1991,0.0029037568789626322
release_date_1992,0.002702740203031836
release_date_1993,0.00311985173883077
release_date_1994,0.0027670853379801984
release_date_1995,0.003385914544230074
release_date_1996,0.0033474972827650063
release_date_1997,0.0033809070621076474
release_date_1998,0.0033099740074452244
