freebaseID,actorLabel,ethnicityLabel,nationalityLabel
/m/09k3x_,Hanns Zischler,,Germany
/m/09d6hv,Gudrun Landgrebe,,Germany
/m/034hyc,Jason Statham,,United Kingdom
/m/0346l4,Natasha Henstridge,,Canada
/m/01y9xg,Clea DuVall,,United States of America
/m/06lj1m,Joanna Cassidy,,United States of America
/m/06s5pl,Miranda July,,United States of America
/m/034c1p,Judi Evans,,United States of America
/m/0785v8,John Hawkes,,United States of America
/m/026qxz,Robert Carradine,,United States of America
/m/02pnjkh,Gary Dubin,,United States of America
/m/0k1vd2,Brad Greenquist,,United States of America
/m/0gcdnn4,Christopher Kriesa,,United States of America
/m/04ghdvq,Anne Krigsvoll,,Norway
/m/03wcfv7,Wanda De Jesus,,United States of America
/m/053j7xf,Frank Krog,,Norway
/m/0k0jn4,Najarra Townsend,,United States of America
/m/03d663h,Peter Jason,,United States of America
/m/0cc9plh,Tracy Wright,,Canada
/m/07jbhb,Cliff DeYoung,,United States of America
/m/0ks8b0,Liam Waite,,United States of America
/m/034dbm,Alice Barrett,,United States of America
/m/0clffnj,Brad Heller,,United States of America
/m/03nrwdy,Duane Davis,,United States of America
/m/0g98ds4,JoNell Kennedy,,United States of America
/m/0bwh7d8,Vidar Sandem,,Norway
/m/026zpch,Natasha Slayton,,United States of America
/m/0gct1by,Kristin Kajander,,Norway
/m/0gc9cpb,Hildy Brooks,,
/m/01lr4p,ZaSu Pitts,,United States of America
/m/0576kw,Meiko Kaji,,Japan
/m/0h1_w,Fredric March,,United States of America
/m/0gz5hs,Seth Green,,United States of America
/m/01f7dd,Willem Dafoe,,United States of America
/m/02qyp1n,Erwin Geschonneck,,Germany
/m/0338ws,Annabella Sciorra,,United States of America
/m/02l6dy,Gretchen Mol,,United States of America
/m/015gy7,Melvyn Douglas,,United States of America
/m/09rnmn,Rina Zelyonaya,,Soviet Union
/m/09rnmn,Rina Zelyonaya,,Russian Empire
/m/01nz7jg,John Lurie,,United States of America
/m/08392m,Peppino De Filippo,,Italy
/m/08392m,Peppino De Filippo,,Kingdom of Italy
/m/07m08h,Mikhail Zharov,,Soviet Union
/m/07m08h,Mikhail Zharov,,Russian Empire
/m/0chg_3,Yoshio Harada,,Japan
/m/0chg_3,Yoshio Harada,,Empire of Japan
/m/02d7rn,Jūzō Itami,,Japan
/m/02d7rn,Jūzō Itami,,Empire of Japan
/m/05zqdwf,Yvan Kyrlya,,Soviet Union
/m/05zqdwf,Yvan Kyrlya,,Russian Empire
/m/07kt8y,Georgiy Zhzhonov,,Russia
/m/07kt8y,Georgiy Zhzhonov,,Soviet Union
/m/041b8d,Florence Rice,,United States of America
/m/05zs55n,Kazuko Yoshiyuki,,Japan
/m/094qth,Sirena Irwin,,United States of America
/m/0jt1q2,Vladimir Uralsky,,Soviet Union
/m/0jt1q2,Vladimir Uralsky,,Russian Empire
/m/03cxtgs,Sam Macaroni,,United States of America
/m/03ccs9p,Shin Kishida,,Japan
/m/03ccs9p,Shin Kishida,,Empire of Japan
/m/04fd3kh,Müjde Ar,,Turkey
/m/0gbxl2y,Alexsandra Wright,,United States of America
/m/0436kgz,Antonio Banderas,,Spain
/m/0jlv5,Zhang Ziyi,,People's Republic of China
/m/03vfjv,Victoria Abril,,Spain
/m/09wn3y,Fan Bingbing,Han Chinese people,People's Republic of China
/m/09gctyq,Karthika Mathew,,India
/m/0ccjr7,So Ji-sub,,South Korea
/m/04jn0yf,Peter Ho,,United States of America
/m/04jn0yf,Peter Ho,,Taiwan
/m/02q64y2,Jorge Sanz,,Spain
/m/06w3ls,Zoë Lund,,United States of America
/m/05pvb4j,María Botto,,Spain
/m/05pvb4j,María Botto,,Argentina
/m/0cg5b04,Javier Gurruchaga,,Spain
/m/02qd2vx,Girija Shettar,,United Kingdom
/m/0cmbfw3,Brian O'Shaughnessy,,United Kingdom
/m/026xrvd,Jagadish,,India
/m/03jnxww,Juanita Jennings,,United States of America
/m/07l4md,M. G. Soman,,India
/m/07l4md,M. G. Soman,,British Raj
/m/07l4md,M. G. Soman,,Dominion of India
/m/04mz092,Vijayaraghavan,,India
/m/0cg5bly,Guillermo Montesinos,,Spain
/m/03jnxy8,Mario Jackson,,United States of America
/m/03jnyld,Tamara Bass,,
/m/064ktx7,Martin Sperr,,Germany
/m/0bqb9n,Armin Jordan,,Switzerland
/m/0266d2k,Reena Roy,,India
/m/02__7n,Christine Baranski,,Poland
/m/05k4y7,Barbara Carrera,,United States of America
/m/05k4y7,Barbara Carrera,,Nicaragua
/m/01phkr,Kate Jackson,,United States of America
/m/01sg96,Geraldine Farrar,,United States of America
/m/02z5bft,Perry Lopez,,United States of America
/m/0d1bq3,Nicole Eggert,,United States of America
/m/03wlz0,Marcia Strassman,,United States of America
/m/01mrs8,Nǃxau,,Namibia
/m/07g7jw,Dylan Walsh,,United States of America
/m/0f3hp6,Raymond Hatton,,United States of America
/m/027dv5t,Sandra Prinsloo,,South Africa
/m/0bqfbt,Nancy Valen,,United States of America
/m/0jz5cb,Bernie Coulson,,Canada
/m/03q8vb,Wallace Reid,,United States of America
/m/0652ty,Saul Rubinek,,Canada
/m/0byzg7,Gerrit Graham,,United States of America
/m/0grjc6,Theodore Roberts,,United States of America
/m/06_1tj,Marius Weyers,,South Africa
/m/03gkd7,Vic Tayback,,United States of America
/m/0dxnfv,Hobart Bosworth,,United States of America
/m/03gtp3c,Juan Fernández de Alarcón,,United States of America
/m/03gtp3c,Juan Fernández de Alarcón,,Dominican Republic
/m/03d8cc3,Horace B. Carpenter,,United States of America
/m/03cd25d,James Neill,,United States of America
/m/0fdctd,Ken Gampu,,South Africa
/m/0b7n19,James Pax,,United States of America
/m/0k56qm,Paddy O'Byrne,,United Kingdom
/m/048lv,Kevin Spacey,,United States of America
/m/0h1m9,Bette Davis,,United States of America
/m/01tnbn,Carrie Fisher,,United States of America
/m/0bxppg,Howard Jackson,,United States of America
/m/01wc7p,Kirstie Alley,,United States of America
/m/032wdd,Tara Reid,,United States of America
/m/03yhc3,Barbara Steele,,United Kingdom
/m/02_36w,Don S. Davis,,United States of America
/m/071ydw,Adele Jergens,,United States of America
/m/06l0pj,George Macready,,United States of America
/m/013846,John Garfield,,United States of America
/m/0412scr,Roland Culver,,United Kingdom
/m/0412scr,Roland Culver,,United Kingdom of Great Britain and Ireland
/m/042g8x,Jessica Steen,,Canada
/m/0fd16g,Michael Bowen,,United States of America
/m/05cl2w,Dan Hedaya,,United States of America
/m/04x9b0,James Gleason,,United States of America
/m/033db3,Corbin Bernsen,,United States of America
/m/01jr5h,Alex English,,United States of America
/m/04x8_g,Brian Aherne,,United Kingdom
/m/01m5lf,William Frawley,,United States of America
/m/0197p7,Edward Everett Horton,,United States of America
/m/06rfnb,Marc Platt,,United States of America
/m/058w0c,Lynn Lowry,,United States of America
/m/0gbyyv0,Aaron Pearl,,Canada
/m/0gdk2x0,Allan Kolman,,United States of America
/m/0b3xxx,Claire Rankin,,Canada
/m/0k36s5,Paul Hampton,,United States of America
/m/083p17,Kim Miyori,,United States of America
/m/026zq2j,Genevieve Buechner,,Canada
/m/03m4wg6,James Burke,,United States of America
/m/0g9z_j9,Joe Silver,,United States of America
/m/03gtq7t,Jonathan Scarfe,,Canada
/m/03qcr2y,Mark Humphrey,,Canada
/m/0dtd8b,Michael Kopsa,,Canada
/m/03yft79,Pete Koch,,United States of America
/m/0gbymnz,Connor Christopher Levins,,
/m/05kh_,Orson Welles,,United States of America
/m/0lcf1,Leslie Howard,,United Kingdom
/m/0lcf1,Leslie Howard,,United Kingdom of Great Britain and Ireland
/m/02_wnq,Kay Francis,,United States of America
/m/055jj1,Ellen Corby,,United States of America
/m/0309r1,William Daniels,,United States of America
/m/03g4xn,Guinevere Turner,,United States of America
/m/02wb_59,Richard Hamilton,,United States of America
/m/02qn4z,"Alan Hale, Jr.",,United States of America
/m/01k109,Terry-Thomas,,United Kingdom
/m/0fcj4,Tim Brooke-Taylor,,United Kingdom
/m/05qzxw,Edgar Buchanan,,United States of America
/m/0gr66w,Charles Meredith,,United States of America
/m/03y8mf2,Harry Cording,,United Kingdom
/m/03fpwp,Harry Carey,,United States of America
/m/04x93v,William Gargan,,United States of America
/m/04gqlx0,Eve Miller,,United States of America
/m/025z88d,James Frawley,,United States of America
/m/027kj6l,John Archer,,United States of America
/m/03h5fvf,Patrice Wymore,,United States of America
/m/05xl3r,Roy Roberts,,United States of America
/m/05qtcv,Rajpal Yadav,,India
/m/05vvl1,Samyuktha Varma,,India
/m/02qjkcy,Judith Lowry,,United States of America
/m/04mz6m8,Ahsaas Channa,,India
/m/05p05y3,Fagun Ivy Thakrar,,United Kingdom
/m/038xl6,Kathryn Hays,,United States of America
/m/03cccpg,Kiran Janjani,,India
/m/04n2_0f,Prithvi,,India
/m/0cnxwrq,Sudesh Berry,,India
/m/04yg_0x,Upasana Singh,,India
/m/026_y_d,Vlasta Vrána,,Canada
/m/026_y_d,Vlasta Vrána,,Czech Republic
/m/0b7bwqw,V.S. Brodie,,United States of America
/m/029m83,Sydney Pollack,,United States of America
/m/01w1kyf,Shirley MacLaine,,United States of America
/m/07s8ksr,Mimi Weddell,,United States of America
/m/01ycbq,Christopher Plummer,,Canada
/m/0l8v5,Neve Campbell,,Canada
/m/01sy5c,Lon Chaney,,United States of America
/m/0drwr8m,Maciej Stuhr,,Poland
/m/02qgz42,Renata Dancewicz,,Poland
/m/01wrv9,Stephen Collins,,United States of America
/m/02qh53w,Tony Bill,,United States of America
/m/0djhfk,Tommy Wiseau,,United States of America
/m/0djhfk,Tommy Wiseau,,Polish People's Republic
/m/04mnrpv,Peter Gantzler,,Kingdom of Denmark
/m/027_nf_,Cleo Madison,,United States of America
/m/0706ft,Janet Julian,,United States of America
/m/04mnrnn,Andrzej Hudziak,,Poland
/m/0gdm00w,Boguslawa Schubert,,Poland
/m/0gc38lt,Rafał Maćkowiak,,Poland
/m/0bfmxbf,Roman Gancarczyk,,Poland
/m/0gc4f1m,Hatsuo Yamaya,,Japan
/m/0gc4f1m,Hatsuo Yamaya,,Empire of Japan
/m/0gdk2yd,Eimei Esumi,,Japan
/m/0gdk2yd,Eimei Esumi,,Empire of Japan
/m/0gc67pm,Gō Awazu,,Japan
/m/0gc67pm,Gō Awazu,,Empire of Japan
/m/0gbqkqv,Izabela Kuna,,Poland
/m/0gcybh7,Maria Maj,,Poland
/m/0hnhfvk,Maria Mamona,,Poland
/m/04mnrph,Małgorzata Hajewska-Krzysztofik,,Poland
/m/015c4g,Robert Duvall,,United States of America
/m/03f2lp,Jaclyn Smith,,United States of America
/m/0ff37r,Dorothy Janis,,United States of America
/m/02rbgt,Lee Strasberg,,United States of America
/m/018yj6,William Baldwin,,United States of America
/m/01zvxq,John Forsythe,,United States of America
/m/02r_d4,Jeffrey Tambor,,United States of America
/m/0338g8,Craig T. Nelson,,United States of America
/m/08sz0k,Michael Lonsdale,,France
/m/08sz0k,Michael Lonsdale,,United Kingdom
/m/03bdm4,Donald Crisp,,United Kingdom
/m/02wr6r,Jack Warden,,United States of America
/m/03d5tfj,Lou Castel,,Sweden
/m/03d5tfj,Lou Castel,,Italy
/m/03d5tfj,Lou Castel,,France
/m/08m038,Amy Locane,,United States of America
/m/018yh9,Daniel Baldwin,,United States of America
/m/046j_1,Morgan Brittany,,United States of America
/m/026sphz,Ju Ji-hoon,,South Korea
/m/0f6rmh,Mary Murphy,,United States of America
/m/05v_98,Sam Levene,,United States of America
/m/04vcdj,Barry Corbin,,United States of America
/m/082_v4,Bo Svenson,,United States of America
/m/082_v4,Bo Svenson,,Sweden
/m/0cc9gb,Jean-Pierre Kalfon,,France
/m/026z6n_,Steven Brand,,United Kingdom
/m/0b6frgy,Robert Hoy,,United States of America
/m/0kry2z,Thomas G. Waites,,United States of America
/m/05x3m9,Frank Lovejoy,,United States of America
/m/0671gz,Leo Gorcey,,United States of America
/m/04p74f2,Delphine Chuillot,,France
/m/0h4yg0j,Laetitia Spigarelli,,France
/m/0g6z952,Nicolas Maury,,France
/m/098vq6,Skip Homeier,,United States of America
/m/0cv895v,Valérie Dréville,,France
/m/0gc9_ym,Vincent Beck,,United States of America
/m/04gs7qr,Benny Bartlett,,United States of America
/m/0260wtf,David Gorcey,,United States of America
/m/0hfy630,Kim Tae-woo,,South Korea
/m/035vrb,Rodger Bumpass,,United States of America
/m/03rvfw,Mr. Lawrence,,United States of America
/m/0d9mt_,Nathalie Baye,,France
/m/077215,Arvind Swamy,,India
/m/02rddq9,Eduard Franz,,United States of America
/m/01lly5,Tom Kenny,,United States of America
/m/01v2vkg,Davy Jones,,United Kingdom
/m/02m09m,Patrick Duffy,,United States of America
/m/0c5vh,Mel Blanc,,United States of America
/m/02zrgt,Vic Morrow,,United States of America
/m/032y6l,Carolyn Lawrence,,United States of America
/m/062f97,Daphne Ashbrook,,United States of America
/m/01x0sy,Bill Fagerbakke,,United States of America
/m/09cztj,John Doucette,,United States of America
/m/0h7z56,Leonardo Sbaraglia,,Argentina
/m/06zp02,S. P. Balasubrahmanyam,,India
/m/0273s6l,Steven Eckholdt,,United States of America
/m/02vd_b,Soundarya,,India
/m/08mdtm,Bhanupriya,,India
/m/0jzyq1,Antonio Dechent,,Spain
/m/026kp7v,Arundathi Nag,,India
/m/0g9bgbx,Emilio Linder,,Spain
/m/0g9bgbx,Emilio Linder,,Argentina
/m/0byw7bs,Josep Linuesa Gurrera,,Spain
/m/043qydf,Jay Benedict,,United States of America
/m/0dm3107,Raja Bundela,,
/m/06w63zt,Siegfried Mynhardt,,South Africa
/m/02ps7rq,Susan George,,United Kingdom
/m/04gjdh9,Guido Celano,,Italy
